name                                  ,profile_url                                           ,address                                                                                                                                                                                                                                       ,email                            ,social_media                   ,picture
George AlvarezDistrict 78             ,https://nyassembly.gov/mem/George-Alvarez             ,"2633 Webster Avenue1st FloorBronx, NY 10458718-933-2204LOB 920Albany, NY 12248518-455-5414"                                                                                                                                                  ,alvarezg@nyassembly.gov          ,No social media info available ,
Khaleel M. AndersonDistrict 31        ,https://nyassembly.gov/mem/Khaleel-M-Anderson         ,"19-31 Mott AvenueSuite 301Far Rockaway, NY 11691718-327-1845131-15 Rockaway Boulevard1st FloorSouth Ozone Park, NY 11420718-322-4958LOB 742Albany, NY 12248518-455-5668"                                                                     ,andersonk@nyassembly.gov         ,                               ,
Joe AngelinoDistrict 121              ,https://nyassembly.gov/mem/Joe-Angelino               ,"1 Kattelville RoadSuite 1Binghamton, NY 13901607-648-6080Fax: 607-648-6089LOB 549Albany, NY 12248518-455-5741Fax: 518-455-5864"                                                                                                              ,angelinoj@nyassembly.gov         ,No social media info available ,
Andrea K. BaileyDistrict 133          ,https://nyassembly.gov/mem/Andrea-K-Bailey            ,"79 Genesee St.Avon, NY 14414585-218-0038Fax: 585-226-2022LOB 718Albany, NY 12248518-455-5662Fax: 518-455-5918"                                                                                                                               ,baileya@nyassembly.gov           ,No social media info available ,
William A. BarclayDistrict 120        ,https://nyassembly.gov/mem/William-A-Barclay          ,"19 Canalview MallFulton, NY 13069315-598-5185LOB Office 933Albany, NY 12248518-455-3751"                                                                                                                                                     ,BarclayW@nyassembly.gov          ,No social media info available ,
Didi BarrettDistrict 106              ,https://nyassembly.gov/mem/Didi-Barrett               ,"420 Warren StreetHudson, NY 12534518-828-1961Fax: 518-828-532912 Raymond Ave.Suite 105Poughkeepsie, NY 12603845-454-1703Fax: 845-454-2408LOB 724Albany, NY 12248518-455-5177Fax: 518-455-5418"                                               ,barrettd@nyassembly.gov          ,                               ,
"Anil Beephan, Jr.District 105"       ,https://nyassembly.gov/mem/Anil-Beephan-Jr            ,"North Hopewell Plaza, Suite #11075 Rt. 82Hopewell Junction, NY 12533845-221-2202Fax: 845-221-2225LOB 528Albany, NY 12248518-455-5725Fax: 518-455-5729"                                                                                       ,beephana@nyassembly.gov          ,No social media info available ,
Scott BendettDistrict 107             ,https://nyassembly.gov/mem/Scott-Bendett              ,"1580 Columbia TurnpikeBuilding 4, Suite 1ACastleton on the Hudson, NY 12033518-272-6149Fax: 518-477-5404LOB 533Albany, NY 12248518-455-5777Fax: 518-455-5923"                                                                                ,bendetts@nyassembly.gov          ,No social media info available ,
Michael BenedettoDistrict 82          ,https://nyassembly.gov/mem/Michael-Benedetto          ,"3602 E. Tremont Ave.Suite 201Bronx, NY 10465718-892-2235177 Dreiser Loop, Rm. 12Bronx, NY 10475718-320-2220LOB 836Albany, NY 12248518-455-5296"                                                                                              ,benedettom@nyassembly.gov        ,                               ,
Sam BergerDistrict 27                 ,https://nyassembly.gov/mem/Sam-Berger                 ,"159-06 71st AvenueFlushing, NY 11365718-969-1508Fax: 718-969-8326LOB 818Albany, NY 12248518-455-4404"                                                                                                                                        ,bergers@nyassembly.gov           ,No social media info available ,
Rodneyse Bichotte HermelynDistrict 42 ,https://nyassembly.gov/mem/Rodneyse-Bichotte-Hermelyn ,"1312 Flatbush AvenueBrooklyn, NY 11210718-940-0428Fax: 718-940-0154LOB 727Albany, NY 12248518-455-5385"                                                                                                                                      ,bichotter@nyassembly.gov         ,                               ,
Ken BlankenbushDistrict 117           ,https://nyassembly.gov/mem/Ken-Blankenbush            ,"40 Franklin StreetSuite 2Carthage, NY 13619315-493-3909Fax: 315-493-4045LOB 322Albany, NY 12248518-455-5797Fax: 518-455-5289"                                                                                                                ,blankenbushk@nyassembly.gov      ,No social media info available ,
Jake BlumencranzDistrict 15           ,https://nyassembly.gov/mem/Jake-Blumencranz           ,"111 W. Old Country RoadSuite 202Hicksville, NY 11801516-937-3571Fax: 516-937-3632LOB 722Albany, NY 12248518-455-4684Fax: 518-455-5477"                                                                                                       ,blumencranzj@nyassembly.gov      ,No social media info available ,
Paul A. BolognaDistrict 144           ,https://nyassembly.gov/mem/Paul-A-Bologna             ,"8180 Main StreetClarence, NY 14221716-839-4691Fax: 716-839-4693LOB 428Albany, NY 12248518-455-4601Fax: 518-455-5257"                                                                                                                         ,bolognap@nyassembly.gov          ,No social media info available ,
Alex BoresDistrict 73                 ,https://nyassembly.gov/mem/Alex-Bores                 ,"353 Lexington AvenueSuite 704New York, NY 10016212-605-0937Fax: 212-605-9948LOB 431Albany , NY 12248518-455-4794"                                                                                                                            ,boresa@nyassembly.gov            ,No social media info available ,
Karl BrabenecDistrict 98              ,https://nyassembly.gov/mem/Karl-Brabenec              ,"28 North Main St.Suite 2Florida, NY 10921845-544-7551Fax: 845-544-7553LOB 525Albany, NY 12248518-455-5991Fax: 518-455-5929"                                                                                                                  ,brabeneck@nyassembly.gov         ,No social media info available ,
Edward C. BraunsteinDistrict 26       ,https://nyassembly.gov/mem/Edward-C-Braunstein        ,"213-33 39th Avenue, Suite 238Bayside, NY 11361718-357-3588Fax: 718-357-5947LOB 422Albany, NY 12248518-455-5425Fax: 518-455-4648"                                                                                                             ,braunsteine@nyassembly.gov       ,No social media info available ,
Harry B. BronsonDistrict 138          ,https://nyassembly.gov/mem/Harry-B-Bronson            ,"840 University AvenueRochester, NY 14607585-244-5255LOB 522Albany, NY 12248518-455-4527"                                                                                                                                                     ,bronsonh@nyassembly.gov          ,No social media info available ,
Alec Brook-KrasnyDistrict 46          ,https://nyassembly.gov/mem/Alec-Brook-Krasny          ,"2002 Mermaid Ave.Brooklyn, NY 11224718-266-0267Fax: 718-266-5391310 93rd StreetBrooklyn, NY 11209347-560-6302Fax: 347-497-5372LOB 529Albany, NY 12248518-455-5434"                                                                           ,brook-krasnya@nyassembly.gov     ,No social media info available ,
Ari BrownDistrict 20                  ,https://nyassembly.gov/mem/Ari-Brown                  ,"525 Chestnut StreetSuite 103Cedarhurst, NY 11516516-431-0500Fax: 516-295-2498LOB 544Albany, NY 12248518-455-3028Fax: 518-455-5391"                                                                                                           ,browna@nyassembly.gov            ,No social media info available ,
Keith P. BrownDistrict 12             ,https://nyassembly.gov/mem/Keith-P-Brown              ,"6080 Jericho TurnpikeSuite 310Commack, NY 11725631-261-4151Fax: 631-261-2992LOB 719Albany, NY 12248518-455-5952Fax: 518-455-5804"                                                                                                            ,brownk@nyassembly.gov            ,No social media info available ,
